Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-31,41813.282,2889.436,5309773.22,176594.8,27460.0,48712.0,162951.0
2007-01-31,69011.862,5922.396,10753521.91,292241.2,56433.0,79274.0,329578.0
2007-02-28,56488.886,4581.608,9697260.78,238463.6,47584.0,64604.0,270274.0
2007-03-31,58862.192,5122.184,10736280.75,248772.2,60769.0,104762.0,290361.0
2007-04-30,35181.466,4688.994,9450794.83,151026.2,42078.0,38417.0,189503.0
2007-05-31,44008.872,5148.894,10498362.16,191838.8,75737.0,72132.0,229448.0
2007-06-30,35682.828,6317.98,10309151.25,155518.4,59672.0,69939.0,188851.0
2007-07-31,29703.83,5674.062,10578509.55,131040.4,43052.0,55733.0,154815.0
2007-08-31,34096.46,5033.644,10616283.84,147804.6,36251.0,49711.0,225442.0
2007-09-30,41872.606,5443.416,10342642.6,180334.8,52841.0,75277.0,226375.0
2007-10-31,49276.37,4171.17,10700881.41,208779.8,43218.0,87914.0,256080.0
2007-11-30,55918.644,4170.904,10405070.38,235253.8,50823.0,73666.0,299690.0
2007-12-31,72604.17,4950.484,10790396.33,304418.2,74090.0,82931.0,362423.0
2008-01-31,65169.382,3908.238,10742211.5,275945.6,61761.0,62911.0,312175.0
2008-02-29,49331.072,3639.688,10046857.96,207710.2,40192.0,56646.0,255918.0
2008-03-31,55590.594,4531.466,10772523.43,233677.6,63110.0,79277.0,279670.0
2008-04-30,48209.992,5361.76,10420755.46,202913.0,47080.0,70871.0,295678.0
2008-05-31,45721.86,6896.588,10729543.15,195697.2,53084.0,58907.0,290620.0
2008-06-30,42943.972,6550.438,10323489.14,185819.0,68728.0,63449.0,290103.0
2008-07-31,35477.418,6551.446,10702890.14,154611.8,47313.0,44416.0,227228.0
2008-08-31,12341.88,5705.046,10732450.56,56403.2,3873.0,22264.0,79665.0
2008-09-30,42667.792,5399.154,10373381.89,181973.4,52376.0,44590.0,284282.0
2008-10-31,50696.46,4712.902,10717968.88,213963.0,44093.0,63228.0,275887.0
2008-11-30,59908.76,4377.654,10391188.27,253310.8,58067.0,55887.0,280615.0
2008-12-31,56833.912,4070.958,10834008.18,236433.6,45107.0,39459.0,307346.0
2009-01-31,62950.008,4396.526,10882685.36,261900.2,74651.0,72952.0,329606.0
2009-02-28,50222.09,3858.294,9758014.49,209344.2,47098.0,50684.0,296166.0
2009-03-31,54758.986,4657.394,10815949.79,229840.0,64645.0,48427.0,328697.0
2009-04-30,49275.524,5314.588,10438073.71,208064.8,54506.0,52601.0,307840.0
2009-05-31,45209.83,5337.736,10717942.42,191944.2,43570.0,50099.0,311048.0
2009-06-30,33541.98,5429.5,9616389.45,143932.2,31362.0,29801.0,259969.0
2009-07-31,27590.444,7487.97,10802709.17,120976.4,18226.0,42528.0,187936.0
2009-08-31,29076.404,8243.432,10555310.81,128391.8,34023.0,38217.0,192064.0
2009-09-30,42628.564,6648.062,10416803.52,181977.2,51602.0,46144.0,296547.0
2009-10-31,51088.72,5866.398,10753273.24,215103.0,54728.0,53729.0,327505.0
2009-11-30,55067.642,5473.938,10451851.03,230421.0,60445.0,53473.0,335529.0
2009-12-31,60905.006,5791.888,10895351.04,252730.0,57801.0,53490.0,383909.0
2010-01-31,59379.658,5196.072,10105594.77,246799.2,53887.0,56568.0,395913.0
2010-02-28,55471.706,4130.218,9770991.14,230447.2,49268.0,53590.0,411714.0
2010-03-31,48155.898,5328.96,10312056.7,201565.0,35089.0,60872.0,324352.0
2010-04-30,44378.124,5393.432,10444775.1,185980.0,38196.0,36476.0,336091.0
2010-05-31,48892.4,5454.214,10729839.44,206717.4,48107.0,52376.0,364625.0
2010-06-30,41885.424,6484.718,10403886.68,180102.2,65747.0,47675.0,306934.0
2010-07-31,32187.752,7386.89,10737823.51,139756.4,17667.0,34359.0,192912.0
2010-08-31,22103.374,4782.076,9026141.77,95934.6,12499.0,26983.0,160189.0
2010-09-30,36309.424,4773.662,9156874.28,154396.4,36865.0,32508.0,257861.0
2010-10-31,51932.954,6140.416,10809749.46,218240.6,48199.0,60220.0,315669.0
2010-11-30,44598.388,4128.708,8970019.7,188465.4,46162.0,42282.0,247113.0
